event_type,id,name,volume,price,stock_time
BUY,8,INTC,100,27.85,25263126
BUY,9,RIMM,30,117.47,25265331
BUY,12,QQQ,200,36.234,25266917
SELL,80,QQQ,200,36.21,26740966
SELL,55,QQQ,16884,36.25,25809687
SELL,58,QQQ,16,36.25,25869605
BUY,154,RIMM,100,116.48,27761770
BUY,155,RIMM,100,116.48,27761783
BUY,156,RIMM,100,116.48,27761795
BUY,157,RIMM,100,116.48,27761807
SELL,64,QQQ,200,36.23,26255980
BUY,70,RIMM,10,116.83,26422134
SELL,79,QQQ,1000,36.22,26718574
BUY,13,QQQ,40,36.234,25266919
BUY,130,QQQ,500,36.2,27611512
BUY,153,RIMM,100,116.48,27761757
SELL,163,RIMM,100,115.0,27820358
SELL,167,RIMM,100,114.52,27820359
SELL,166,RIMM,400,114.7,27820359
SELL,165,RIMM,100,114.72,27820359
SELL,164,RIMM,900,115.0,27820359
BUY,169,RIMM,400,114.52,27827739
BUY,168,RIMM,100,114.52,27827739
SELL,171,RIMM,100,114.51,27830750
BUY,173,RIMM,400,114.51,27830957
BUY,172,RIMM,100,114.51,27830957
BUY,174,RIMM,10,114.51,27834144
BUY,175,RIMM,100,114.51,27834959
BUY,177,RIMM,400,114.31,27839840
BUY,1862,MSFT,573,26.1,30420944
BUY,1861,MSFT,1300,26.1,30421944
SELL,1864,AMAT,800,18.95,30428613
SELL,1865,AMAT,500,18.95,30429173